Date,Food, Food: Cereals & Cereal Preparations, Food: Fruits & Vegetables," Food: Fish, Seafood & Preparations"," Food: Coffee, Tea, Spices & Manufactures", Beverages and Tobacco (BT), BT: Beverages, BT: Tobacco & Manufactures, Crude Materials (CM), CM: Metalliferous Ores & Metal Scrap, CM: Crude Vegetable & Animal Materials, CM: Crude Rubber, CM: Crude Minerals & Fertilisers, Mineral Fuels, Mineral Fuels: Petroleum, Mineral Fuels: Petroleum&Pdts & Related Materials, Animal and Vegetable Oils (AV), AV: Fixed Vegetables Fats & Oils, AV: Animal or Vegetable Fats & Oils Nes, Chemicals and Chemical Products (CH), CH: Medical & Pharmaceutical Products, CH: Organic Chemicals, CH: Plastics in Primary Forms, CH: Plastics in Non-primary Forms , CH: Essential Oils & Resinoids & Perfume Materials, Manufactured Goods by Materials (MG), MG: Iron & Steel, MG: Metal Manufactures, MG: Non Ferrous Metals, MG: Non Metallic Mineral Manufactures, MG: Paper & Paperboard, MG: Rubber Manufactures, MG: Textile Manufactures, Machinery and Transport Equipment (MT), MT: Office & Automatic Data-processing Machines ," MT: Telecommunication, Reproducing Apparatus&Equip", MT: Data Processing Machines, MT: Parts for Office & Data Processing, MT: Communications Equipment, MT: Electrical Machinery Apparatus & Appliances , MT: Electrical Circuit Apparatus, MT: Electronic Valves, MT: Electrical Machinery, Miscellaneous Manufactured Articles (MM)," MM: Photographic App Equip,Supplies&Optical Goods ", MM: Scientific Instruments & Apparatus, MM: Articles of Apparel & Clothing Accessories, MM: Miscellaneous Manufactured Articles Nes, MM: Miscellaneous Manufactured Articles Nes, Miscellaneous Transactions Nes, Coal: Coke, Gas, Pulp & Waste Paper
Jan-76,14.726,3.095,0.604,2.801,1.921,1.66,1.444,0.216,4.321,2.089,1.05,,0.749,403.855,321.864,321.864,2.483,2.263,0.096,14.798,9.007,0.449,,,1.599,43.96,4.104,7.058,1.157,3.624,1.391,1.085,12.722,235.401,11.51,27.755,,,,67.664,,,,60.522,15.692,2.33,26.368,11.885,11.885,1.5,,4.969,0.15
Feb-76,11.939,1.132,0.446,1.583,1.47,1.764,1.494,0.27,4.607,1.879,0.84,,1.547,341.718,274.973,274.973,7.683,7.411,0.27,17.594,9.561,1.397,,,1.596,34.551,0.76,5.789,0.833,2.998,0.96,1.738,9.448,230.479,14.841,29.86,,,,65.098,,,,48.716,13.397,2.096,21.109,8.425,8.425,1.037,,2.467,0.11
Mar-76,14.623,1.615,0.563,3.405,1.495,2.132,1.772,0.36,4.868,2.437,0.875,,1.159,368.388,278.559,278.559,4.554,3.993,0.5,16.577,7.725,1.148,,,2.372,54.002,2.541,7.812,1.457,4.254,1.566,1.115,19.952,176.409,13.656,43.559,,,,87.423,,,,72.229,20.858,3.243,29.665,13.605,13.605,1.446,,3.122,0.163
Apr-76,15.364,2.103,0.547,3.185,1.148,2.951,2.676,0.275,5.416,2.632,0.808,,1.575,428.363,340.177,340.177,4.86,4.538,0.313,21.423,11.5,0.525,,,3.337,50.948,2.911,7.117,1.751,5.306,1.735,1.575,14.67,175.899,14.312,38.505,,,,82.74,,,,70.812,19.688,3.588,30.284,10.921,10.921,1.407,,3.376,0.158
May-76,12.665,1.381,0.374,2.975,0.909,2.252,1.957,0.295,5.156,3.187,0.877,,0.794,359.631,278.307,278.307,2.544,2.05,0.489,17.355,9.409,0.9,,,1.921,44.058,1.969,5.45,1.004,2.927,1.526,1.179,15.538,207.452,15.666,41.413,,,,81.627,,,,68.012,17.822,2.739,30.882,10.895,10.895,1.596,,2.316,0.132
Jun-76,15.12,2.609,0.573,3.71,0.99,2.505,2.145,0.36,5.869,3.945,0.736,,0.76,346.465,254.84,254.84,4.107,4.001,0.099,19.546,8.52,1.147,,,3.98,53.256,1.976,8.302,1.765,3.849,1.782,2.268,17.737,189.315,13.301,46.202,,,,95.876,,,,88.036,24.305,3.147,39.743,13.468,13.468,1.633,,2.224,0.123
Jul-76,21.756,2.989,0.531,3.948,1.474,3.705,3.436,0.269,5.443,3.662,0.512,,0.842,445.302,340.967,340.967,5.901,5.11,0.784,27.2,17.63,0.912,,,2.911,61.168,3.004,8.866,1.446,3.95,2.162,1.823,23.001,232.377,12.588,48.484,,,,113.668,,,,89.916,23.523,3.518,35.511,19.32,19.32,1.685,,3.046,0.132
Aug-76,14.209,1.944,0.555,2.886,1.569,3.02,2.797,0.223,6.344,3.55,0.695,,1.671,344.293,253.946,253.946,4.857,4.342,0.505,21.175,12.49,1.192,,,2.169,58.002,4.495,7.335,1.359,2.342,1.858,1.795,18.162,186.015,11.201,46.675,,,,99.485,,,,80.807,23.774,3.43,32.917,14.03,14.03,1.661,,2.717,0.172
Sep-76,16.989,1.63,0.739,3.874,2.618,2.522,2.247,0.275,4.571,3.13,0.698,,0.341,403.471,317.473,317.473,5.075,4.939,0.125,26.528,17.664,1.241,,,1.99,53.912,4.43,6.734,1.66,2.819,1.826,1.891,15.525,198.804,9.434,51.573,,,,100.323,,,,84.884,23.731,3.861,29.442,19.123,19.123,2.334,,3.008,0.157
Oct-76,21.851,2.426,0.451,2.775,1.886,2.941,2.635,0.306,4.657,2.918,1.009,,0.301,417.959,317.902,317.902,6.256,5.868,0.387,27.583,14.428,0.499,,,2.721,58.597,3.738,7.066,1.325,3.149,1.303,2.806,15.948,239.894,13.697,49.396,,,,100.928,,,,73.527,21.159,2.221,29.4,14.056,14.056,1.277,,5.621,0.198
