Date,America,Asia,Europe,Oceania,Africa,Antigua and Barbuda,Argentina,Bahamas,Bermuda,Brazil,Chile,Canada,Colombia,Costa Rica,Cuba,Dominican Rep,Ecuador,El Salvador,Guatemala,Guyana,Honduras,Jamaica,Mexico,Netherlands Antilles,Panama,Paraguay,Peru,Puerto Rico,Saint Vincent and the Grenadines,Trinidad & Tobago,Uruguay,USA,Venezuela,Other Countries of America,Afghanistan,Bahrain,Bangladesh,Brunei,Cambodia,China,Hong Kong SAR (China),India,Indonesia,Iran,Israel,Japan,Jordan,South Korea,North Korea,Kuwait,Lao Peo Dem Rep,Lebanon,Macau SAR (China),Malaysia,Maldives Rep of,Mongolian Peo Rep,Myanmar,Nepal,Oman,Pakistan,Philippines,Qatar,Saudi Arabia,Sri Lanka,Syrian Arab Rep,Taiwan,Thailand,United Arab Emirates,Vietnam,Yemen,Other Countries of Asia,EU,Austria,Belarus,Belgium,Bulgaria,Croatia,Cyprus,"Czech, Republic",Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Kazakhstan,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Norway,Poland,Portugal,Romania,Russia,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom,Other Countries of Europe,Australia,Christmas Islands,Fiji,French Polynesia,Guam,Marshall Islands,New Caledonia,New Zealand,Northern Mariana Islands,Papua New Guinea,Samoa,Solomon Islands,Vanuatu,Other Countries of Oceania,Algeria,Angola,Benin,Cameroon,Comoros,Cote D'ivoire,Djibouti,Egypt,Ethiopia,Gabon,Ghana,Guinea,Kenya,Liberia,Libyan Arab Jamahiriya,Madagascar,Mauritius,Morocco,Mozambique,Nigeria,Reunion,Seychelles,South Africa,Sudan,Eswatini,Tanzania,Tunisia,Zambia,Zimbabwe,Other Countries of Africa
Jan-76,,,,,,,0.894,,,7.853,0.731,12.368,2.814,,,,0.24,,,,,,4.421,,,,0.589,,,,0.072,244.148,1.531,,,1.499,10.697,17.918,,11.604,108.223,9.368,,,2.169,130.744,0.223,10.344,,3.383,,0.089,,180.289,,,2.965,0.325,,6.783,13.193,,8.557,3.198,0.299,12.283,44.796,16.214,,,,,0.679,,7.695,,,0.361,,3.804,,0.479,22.462,41.76,5.862,0.18,0.16,9.114,,,,,,20.065,,3.829,0.069,,,,,2.579,4.192,2.758,,,40.762,,76.961,,0.241,,,,0.218,12.261,,15.416,,,,8.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-76,,,,,,,1.434,,,5.837,1.006,11.565,1.815,,,,0.039,,,,,,2.171,,,,1.033,,,,0.076,151.791,0.799,,,4.969,2.588,20.559,,8.486,95.182,9.328,,,3.587,107.053,0.385,10.413,,4.351,,0.04,,171.755,,,7.589,0.095,,3.855,11.381,,8.723,2.358,0.289,8.373,31.867,8.955,,,,,1.136,,5.926,,,0.612,,3.285,,0.153,24.917,44.823,6.883,0.104,0.629,15.449,,,,,,17.548,,2.01,0.419,,,,,5.535,3.123,2.992,,,42.978,,71.419,,6.932,,,,0.836,8.136,,12.649,,,,4.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-76,,,,,,,4.885,,,6.116,0.716,12.373,2.245,,,,0.21,,,,,,4.053,,,,1.016,,,,0.37,193.48,1.249,,,4.411,7.661,18.46,,1.318,77.688,10.472,,,2.335,130.205,0.215,14.527,,5.514,,0.103,,201.753,,,5.778,0.456,,3.664,11.089,,11.206,2.135,0.388,12.968,48.372,11.184,,,,,0.985,,8.058,,,0.703,,4.036,,0.303,31.353,54.819,6.777,0.517,0.637,16.646,,,,,,21.414,,5.409,1.404,,,,,6.252,3.514,3.736,,,56.603,,68.472,,1.168,,,,8.479,11.2,,13.484,,,,5.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-76,,,,,,,2.494,,,9.002,0.54,13.615,0.855,,,,0.245,,,,,,3.836,,,,1.595,,,,0.089,161.726,1.316,,,3.799,2.581,19.346,,2.867,133.127,6.431,,,3.103,135.849,0.625,11.577,,12.263,,0.034,,207.398,,,5.492,0.409,,6.295,7.128,,30.847,3.043,0.503,10.569,52.854,20.915,,,,,0.807,,8.33,,,0.712,,11.946,,0.221,27.076,53.792,6.873,0.029,0.365,16.743,,,,,,24.309,,0.594,0.11,,,,,7.615,4.761,5.043,,,47.316,,56.856,,0.207,,,,11.744,13.794,,16.311,,,,9.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-76,,,,,,,3.889,,,11.553,0.915,10.821,2.705,,,,0.058,,,,,,4.832,,,,0.992,,,,0.501,191.72,1.276,,,3.383,5.661,17.154,,2.018,74.648,8.892,,,0.663,142.944,0.245,13.667,,3.547,,0.086,,188.857,,,2.257,0.598,,3.462,9.081,,12.614,2.417,0.332,11.585,49.975,12.837,,,,,0.832,,6.222,,,0.328,,5.811,,0.25,32.395,52.392,6.961,0,0.445,17.749,,,,,,23.215,,3.923,0.981,,,,,5.809,3.104,3.976,,,47.666,,54.668,,12.861,,,,9.411,4.585,,8.324,,,,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-76,,,,,,,1.9,,,10.346,0.435,26.329,1.054,,,,0.265,,,,,,2.452,,,,1.521,,,,0.389,195.342,1.089,,,10.167,1.917,16.126,,7.193,110.924,8.74,,,4.226,104.178,0.376,15.814,,4.579,,0.777,,196.107,,,2.468,0.571,,13.276,10.932,,14.035,5.934,0.09,12.086,34.262,20.091,,,,,0.902,,6.391,,,0.44,,14.728,,0.296,32.858,58.533,7.784,0.095,0.282,18.259,,,,,,21.164,,6.919,0.503,,,,,3.257,4.378,4.106,,,45.785,,75.567,,0.272,,,,7.163,11.746,,9.718,,,,16.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-76,,,,,,,4.758,,,9.945,0.946,20.49,3.381,,,,0.452,,,,,,3.999,,,,0.841,,,,0.607,229.319,0.79,,,4.842,2.685,20.803,,3.263,135.554,10.637,,,2.184,162.027,0.461,16.554,,6.141,,0.452,,231.574,,,2.267,0.474,,8.332,9.669,,27.627,2.246,0.246,13.551,35.561,27.711,,,,,1.343,,6.97,,,0.555,,6.984,,0.554,32.429,50.441,11.371,0.284,0.253,18.53,,,,,,18.133,,5.847,1.391,,,,,9.572,6.06,4.041,,,47.156,,71.996,,10.685,,,,1.42,17.667,,3.674,,,,0.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-76,,,,,,,1.869,,,10.663,0,18.482,0.053,,,,0,,,,,,1.884,,,0.028,0,,,,0.656,175.253,0.784,,,9.096,0.995,25.964,,6.876,81.298,11.026,,,1.683,135.335,0.13,18.734,,5.033,,0.406,,201.877,,,0.522,0.133,,5.004,11.123,,21.289,3.082,0.121,18.776,33.179,26.242,,,,,0.822,,10.143,,,0.592,,7.531,,0.172,28.591,52.734,7.7,0.178,0.56,14.838,,,,,,24.038,,3.924,0.845,,,,,10.197,5.011,3.38,,,60.232,,65.766,,0.208,,,,1.062,17.539,,9.812,,,,19.749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-76,,,,,,,6.398,,,3.265,0.909,19.086,3.417,,,,0.588,,,,,,4.9,,,0,2.386,,,,0.817,215.515,1.809,,,6.072,3.23,23.177,,3.677,103.234,10.11,,,1.938,174.935,0.536,17.039,,7.084,,0.569,,226.243,,,3.911,0.078,,7.4,9.242,,24.093,2.287,0.341,16.346,41.163,16.642,,,,,1.015,,6.085,,,0.582,,7.687,,0.813,44.217,54.45,8.812,0.096,0.628,23.379,,,,,,21.145,,8.23,1.882,,,,,8.221,3.493,3.511,,,47.844,,58.852,,15.74,,,,0.264,19.229,,8.776,,,,7.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-76,,,,,,,3.091,,,12.421,0.853,21.666,2.25,,,,0.255,,,,,,3.081,,,0,0.838,,,,0.693,201.301,1.673,,,7.676,6.365,25.387,,3.934,112.85,10.112,,,4.732,155.85,0.323,18.295,,5.974,,1.022,,216.321,,,10.979,0.265,,9.726,10.861,,16.744,2.157,0.385,13.564,32.526,19.498,,,,,1.369,,10.635,,,0.854,,5.717,,0.463,41.176,59.773,14.552,0.08,0.792,24.648,,,,,,28.509,,6.788,2.005,,,,,11.75,4.789,2.764,,,56.397,,65.354,,2.148,,,,8.142,13.796,,13.12,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-76,,,,,,,3.772,,,10.412,0.744,16.908,1.726,,,,0.312,,,,,,3.697,,,0.18,1.673,,,,0.495,224.226,1.484,,,7.871,11.819,14.731,,39.121,101.267,6.407,,,2.24,119.085,0.539,17.335,,4.63,,0.318,,254.307,,,8.481,0.213,,7.144,9.09,,12.219,2,0.477,20.38,37.672,19.384,,,,,1.276,,7.233,,,0.503,,7.474,,1.536,43.959,64.807,7.348,0.609,1.846,18.178,,,,,,28.994,,8.763,1.246,,,,,7.147,5.655,3.683,,,59.492,,97.095,,10.406,,,,0.296,20.365,,14.093,,,,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
