,Food,Food: Vegetables & Fruits,"Food: Fish, Seafood & Preparations",Food: Meat & Meat Preparations,"Food: Coffee, Tea, Spices & Manufactures",BeveragesTobacco (BT),BT: Beverages,BT: Tobacco & Manufactures,Crude Materials (CM),CM: Metalliferous Ores & Metal Scrap,CM: Crude Rubber,CM: Crude Minerals & Fertilisers,CM: Crude Vegetable & Animal Materials,Mineral Fuels,Mineral Fuels: Petroleum & Pdt & Related Materials,Mineral Fuels: Petroleum,Mineral Fuels: Coal: Coke,Mineral Fuels: Gas,AnimalVegetable Oils (AV),AV: Animal or Vegetable Fats & Oils Nes,AV: Fixed Vegetables Fats & Oils,ChemicalsChemical Products (CH),CH: Medicinal & Pharmaceutical Products,CH: Organic Chemicals,CH: Plastics in Primary Forms,CH: Plastics in Non-primary Forms ,CH: Essential Oils & Resinoids & Perfume Materials,Manufactured Goods (MG),MG: Iron & Steels,MG: Metal Manufactures,MG: Non-ferrous Metals,MG: Non-metallic Mineral Manufactures,MG: Paper & Paperboard ,MG: Rubber Manufactures,MG: Textile Manufactures,MachineryTransport Equipment (MT),MT: Office & Automatic Data-processing Machines ,MT: Telecommunications & Reproducing Apparatus & Equip ,MT: Electrical Machinery Apparatus & Appliances Nes ,MT: Electronics Valves,MT: Parts for Office & DP Machines,MT: Communication Equipment,MT: Electrical Machinery,MT: Electrical Circuit Apparatus,Miscellaneous Manufactured Articles (MM),MM: Disc Media Products & Plastic Articles,MM: Scientific Instruments & Apparatus,"MM: Photographic Supplies, Watches & Optical Goods",MM: Articles of Apparel & Clothing Accessories ,MM: Footwear,Miscellaneous Manufactured Articles Nes,Miscellaneous Transactions Nes,(DC)MT: Data Processing Machines
Dec-63,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-64,65.4,,,,,7,,,52.8,,,,,51.2,,,,,4,,,13.8,,,,,,48.5,,,,,,,,39.2,,,,,,,,,33.1,,,,,,,7.1,
Feb-64,55.8,,,,,5.3,,,49,,,,,26.1,,,,,2.3,,,12.6,,,,,,42.4,,,,,,,,34.9,,,,,,,,,30.6,,,,,,,5.1,
Mar-64,58.2,,,,,5.2,,,44.7,,,,,52,,,,,2.4,,,12.9,,,,,,41.8,,,,,,,,37.5,,,,,,,,,19.8,,,,,,,6.2,
Apr-64,51.8,,,,,4.7,,,49.5,,,,,37.7,,,,,2.1,,,14.4,,,,,,46.3,,,,,,,,52.3,,,,,,,,,23.3,,,,,,,5.8,
May-64,56.2,,,,,4.3,,,50.7,,,,,49.1,,,,,2.8,,,14.1,,,,,,43.7,,,,,,,,46,,,,,,,,,20.2,,,,,,,4.8,
Jun-64,61.2,,,,,4,,,56.5,,,,,38.8,,,,,3,,,13.5,,,,,,43.4,,,,,,,,43.7,,,,,,,,,22.2,,,,,,,8.4,
Jul-64,55,,,,,4,,,50.7,,,,,25.6,,,,,2.6,,,14,,,,,,42,,,,,,,,39.1,,,,,,,,,21.3,,,,,,,4.6,
Aug-64,56.2,,,,,4.1,,,52.9,,,,,49.4,,,,,3.5,,,12.3,,,,,,44.9,,,,,,,,40.7,,,,,,,,,21.5,,,,,,,5.1,
Sep-64,70,,,,,5.8,,,55.4,,,,,46.2,,,,,3,,,12.8,,,,,,51.6,,,,,,,,37.5,,,,,,,,,20.7,,,,,,,5.3,
Oct-64,64.6,,,,,6.4,,,58.6,,,,,37.6,,,,,4.5,,,15.1,,,,,,49.5,,,,,,,,41.3,,,,,,,,,23.8,,,,,,,11.1,
Nov-64,52.3,,,,,4.9,,,50.8,,,,,25.9,,,,,2.5,,,12.4,,,,,,48,,,,,,,,39.5,,,,,,,,,20.9,,,,,,,5.5,
Dec-64,58.8,,,,,5.9,,,60.7,,,,,30.1,,,,,4.4,,,15.6,,,,,,53.6,,,,,,,,43,,,,,,,,,25.3,,,,,,,6.9,
Jan-65,63.6,,,,,9.4,,,59.2,,,,,43.7,,,,,4.7,,,15.9,,,,,,61,,,,,,,,42.1,,,,,,,,,23.8,,,,,,,5.4,
Feb-65,61.1,,,,,4.1,,,55.3,,,,,41.4,,,,,4.6,,,15.4,,,,,,43.6,,,,,,,,40.4,,,,,,,,,21.6,,,,,,,6.6,
