,Oil: Brunei Darussalam,Oil: Indonesia,Oil: Malaysia,Oil: Philippines,Oil: Thailand,Oil: Myanmar,Oil: Cambodia,Oil: Vietnam,Oil: Japan,Oil: Hong Kong SAR (China),Oil: South Korea,Oil: Taiwan,Oil: China People's Republic,Oil: Bangladesh,Oil: India,"Oil: Maldives, Republic Of",Oil: Pakistan,Oil: Sri Lanka,Oil: Oman,Oil: Qatar,Oil: Saudi Arabia,Oil: United Arab Emirates,Oil: United States,Oil: Colombia,Oil: Ecuador,Oil: Australia,Oil: Fiji,Oil: New Caledonia,Oil: New Zealand,Oil: Papua New Guinea,Oil: French Polynesia,Oil: Guam,Oil: Solomon Islands,Commodity Sum: Macau SAR (China),Commodity Sum: South Korea,Commodity Sum: India,Commodity Sum: Australia,Commodity Sum: Estonia,Commodity Sum: Indonesia
Jan-88,0.06,,41.413,0.059,75.95,0.001,,,2.463,5.89,0.011,26.189,0.018,0.006,0.283,0,0.003,0.248,0,0,0,0.002,0.018,,,0.399,0,,0.006,0,0,0,0,,,32.892,23.412,,
Feb-88,0.06,,12.539,3.581,24.053,0.009,,,9.413,0.081,0.073,7.148,0.008,0.002,0.064,0.005,0,0.114,0,0,0,0,5.292,,,0.011,0,,0.003,0.003,0,5.299,0,,,50.649,32.67,,
Mar-88,0.454,,20.573,0.114,0.171,0,,,12.398,3.634,0.021,9.697,0.143,0.042,0.46,0,0,0.142,0,0,0.008,7.095,0,,,14.11,0,,0.001,0.006,0,0,0,,,53.794,32.897,,
Apr-88,0.061,,6.026,0.037,26.502,0.002,,,18.485,4.498,0.039,6.73,0.001,0.015,0.036,0.006,0.001,0.092,0,0,0,0.015,8.811,,,24.693,0.019,,0.014,0.003,0,0,0,,,59.492,36.325,,
May-88,0.526,,7.795,0.039,42.637,0,,,17.503,5.836,0.074,0.441,0.005,0.003,2.075,0,0,0.256,0,0,0,0.003,0.002,,,15.224,0,,0.006,0.028,0,0,0,,,52.723,36.075,,
Jun-88,0.049,,20.18,0.051,39.562,0.008,,,4.908,5.287,0.04,0.807,0,0.147,0.712,0.009,0.012,0.038,0,0,0.007,0.015,0.01,,,8.651,0,,0.001,0.01,0,0,0,,,71.436,46.861,,
Jul-88,0.091,,7.676,0.014,16.251,0.052,,,6.723,0.032,0.019,13.022,2.173,0.373,0.031,0,0,0.046,0,0,0,0,0.013,,,0.015,0,,0,0.005,0,0,0,,,57.68,59.288,,
Aug-88,0.474,,28.417,0.103,43.52,0,,,9.989,0.163,0.049,16.632,5.813,0.144,0.109,0,0,0.148,0,0,0,0.043,0,0,,19.002,0,,0,0.005,0,0,0,,,56.488,46.038,,
Sep-88,0.101,,7.369,0.098,62.903,0.001,,,0.249,1.151,0.049,9.326,6.897,0.079,1.445,0,0,0.092,0,0,0,0.028,0,0,,0.343,0.457,,0.001,0.014,0,0,0,,,70.829,52.601,,
Oct-88,0.599,,11.704,0.038,4.359,0,,,0.21,0.937,0.025,12.459,2.764,0.089,0.14,0.001,0.002,0.156,0,0,0.001,0,0,0,,8.254,0,,0.001,0.001,0,0,0,,,70.695,53.893,,
Nov-88,0.524,,14.139,0.037,3.646,0.001,,,24.532,2.551,6.199,9.028,0.022,0.312,0.641,0.001,0.058,0.204,0,0,0.004,0.015,0,0,,3.773,0,,0.001,0.01,0,0,0,,,73.566,52.298,,
Dec-88,0.702,,9.979,0.516,3.538,0.006,,,0.212,3.251,0.028,0.589,4.568,0.343,1.439,0.001,0.085,0.118,0,0,0,0.081,0,0,,15.956,0,,0.002,0.023,0,2.902,0,,,94.876,68.575,,
